,sepal.length,sepal.width,petal.length,petal.width,Class
67,5.8,2.7,4.1,1.0,1
1,4.9,3.0,1.4,0.2,0
12,4.8,3.0,1.4,0.1,0
123,6.3,2.7,4.9,1.8,2
8,4.4,2.9,1.4,0.2,0
61,5.9,3.0,4.2,1.5,1
10,5.4,3.7,1.5,0.2,0
90,5.5,2.6,4.4,1.2,1
19,5.1,3.8,1.5,0.3,0
34,4.9,3.1,1.5,0.2,0
122,7.7,2.8,6.7,2.0,2
104,6.5,3.0,5.8,2.2,2
120,6.9,3.2,5.7,2.3,2
29,4.7,3.2,1.6,0.2,0
141,6.9,3.1,5.1,2.3,2
92,5.8,2.6,4.0,1.2,1
33,5.5,4.2,1.4,0.2,0
15,5.7,4.4,1.5,0.4,0
115,6.4,3.2,5.3,2.3,2
107,7.3,2.9,6.3,1.8,2
113,5.7,2.5,5.0,2.0,2
26,5.0,3.4,1.6,0.4,0
79,5.7,2.6,3.5,1.0,1
47,4.6,3.2,1.4,0.2,0
149,5.9,3.0,5.1,1.8,2
56,6.3,3.3,4.7,1.6,1
144,6.7,3.3,5.7,2.5,2
27,5.2,3.5,1.5,0.2,0
126,6.2,2.8,4.8,1.8,2
13,4.3,3.0,1.1,0.1,0
132,6.4,2.8,5.6,2.2,2
49,5.0,3.3,1.4,0.2,0
52,6.9,3.1,4.9,1.5,1
135,7.7,3.0,6.1,2.3,2
46,5.1,3.8,1.6,0.2,0
73,6.1,2.8,4.7,1.2,1
91,6.1,3.0,4.6,1.4,1
76,6.8,2.8,4.8,1.4,1
134,6.1,2.6,5.6,1.4,2
138,6.0,3.0,4.8,1.8,2
140,6.7,3.1,5.6,2.4,2
54,6.5,2.8,4.6,1.5,1
48,5.3,3.7,1.5,0.2,0
143,6.8,3.2,5.9,2.3,2
142,5.8,2.7,5.1,1.9,2
93,5.0,2.3,3.3,1.0,1
59,5.2,2.7,3.9,1.4,1
71,6.1,2.8,4.0,1.3,1
77,6.7,3.0,5.0,1.7,1
111,6.4,2.7,5.3,1.9,2
105,7.6,3.0,6.6,2.1,2
6,4.6,3.4,1.4,0.3,0
63,6.1,2.9,4.7,1.4,1
95,5.7,3.0,4.2,1.2,1
5,5.4,3.9,1.7,0.4,0
60,5.0,2.0,3.5,1.0,1
39,5.1,3.4,1.5,0.2,0
65,6.7,3.1,4.4,1.4,1
45,4.8,3.0,1.4,0.3,0
100,6.3,3.3,6.0,2.5,2
0,5.1,3.5,1.4,0.2,0
9,4.9,3.1,1.5,0.1,0
80,5.5,2.4,3.8,1.1,1
98,5.1,2.5,3.0,1.1,1
58,6.6,2.9,4.6,1.3,1
81,5.5,2.4,3.7,1.0,1
125,7.2,3.2,6.0,1.8,2
146,6.3,2.5,5.0,1.9,2
44,5.1,3.8,1.9,0.4,0
3,4.6,3.1,1.5,0.2,0
66,5.6,3.0,4.5,1.5,1
14,5.8,4.0,1.2,0.2,0
69,5.6,2.5,3.9,1.1,1
118,7.7,2.6,6.9,2.3,2
136,6.3,3.4,5.6,2.4,2
38,4.4,3.0,1.3,0.2,0
128,6.4,2.8,5.6,2.1,2
75,6.6,3.0,4.4,1.4,1
86,6.7,3.1,4.7,1.5,1
84,5.4,3.0,4.5,1.5,1
35,5.0,3.2,1.2,0.2,0
37,4.9,3.6,1.4,0.1,0
102,7.1,3.0,5.9,2.1,2
4,5.0,3.6,1.4,0.2,0
110,6.5,3.2,5.1,2.0,2
22,4.6,3.6,1.0,0.2,0
94,5.6,2.7,4.2,1.3,1
11,4.8,3.4,1.6,0.2,0
62,6.0,2.2,4.0,1.0,1
87,6.3,2.3,4.4,1.3,1
82,5.8,2.7,3.9,1.2,1
31,5.4,3.4,1.5,0.4,0
72,6.3,2.5,4.9,1.5,1
139,6.9,3.1,5.4,2.1,2
119,6.0,2.2,5.0,1.5,2
148,6.2,3.4,5.4,2.3,2
147,6.5,3.0,5.2,2.0,2
103,6.3,2.9,5.6,1.8,2
2,4.7,3.2,1.3,0.2,0
28,5.2,3.4,1.4,0.2,0
83,6.0,2.7,5.1,1.6,1
109,7.2,3.6,6.1,2.5,2
30,4.8,3.1,1.6,0.2,0
127,6.1,3.0,4.9,1.8,2
7,5.0,3.4,1.5,0.2,0
89,5.5,2.5,4.0,1.3,1
129,7.2,3.0,5.8,1.6,2
64,5.6,2.9,3.6,1.3,1
114,5.8,2.8,5.1,2.4,2
137,6.4,3.1,5.5,1.8,2
70,5.9,3.2,4.8,1.8,1
16,5.4,3.9,1.3,0.4,0
